word,color,congruent,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,intro_text.started,intro_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ready_text.started,ready_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,ISI.started,ISI.stopped,trial_text.started,trial_text.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixationtrial.started,fixationtrial.stopped,trial_display.started,trial_display.stopped,rest_text.started,rest_text.stopped,key_resp_8.keys,key_resp_8.started,key_resp_8.stopped,rest_beep_start.started,rest_beep_start.stopped,rest_beep_end.started,rest_beep_end.stopped,rest_display.started,rest_display.stopped,text_2.started,text_2.stopped,fixationmain.started,fixationmain.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,task_display.started,task_display.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,45.507235400000354,None,space,298.60719690000406,46.49803460002295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1491,2019_Oct_15_0946,stroop short,3.1.5,59.97148955320342,
,,,,,,,,,,,,,,,,,,,,,,345.1223993000167,None,space,17.22180580001441,346.13856079999823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1491,2019_Oct_15_0946,stroop short,3.1.5,59.97148955320342,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.38488170001074,None,space,22.941006399982143,364.4044708000147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1491,2019_Oct_15_0946,stroop short,3.1.5,59.97148955320342,
XANH DƯƠNG,BLUE,1,down,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20959530002437532,None,388.2133199000091,389.4963929000078,left,0,1.123577899998054,388.2133199000091,None,387.6114743000071,388.1970532000123,387.6114743000071,None,,,,,,,,,,,,,,,,,,,,,,,001,1491,2019_Oct_15_0946,stroop short,3.1.5,59.97148955320342,
ĐỎ,GREEN,1,left,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006977100012591109,None,391.19630229999893,392.4790724000195,right,0,1.260593000013614,391.19630229999893,None,390.3822415000177,391.18052770002396,390.3822415000177,None,,,,,,,,,,,,,,,,,,,,,,,001,1491,2019_Oct_15_0946,stroop short,3.1.5,59.97148955320342,
ĐỎ,RED,1,left,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00044940001680515707,None,394.1954067000188,395.47843889999785,left,1,1.4225268000154756,394.1954067000188,None,393.37892370001646,394.1787644000142,393.37892370001646,None,,,,,,,,,,,,,,,,,,,,,,,001,1491,2019_Oct_15_0946,stroop short,3.1.5,59.97148955320342,
VÀNG,YELLOW,1,up,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007945399993332103,None,397.19496180000715,398.47787850000896,up,1,0.7832126000139397,397.19496180000715,None,396.3825308000087,397.1789043000026,396.3825308000087,None,,,,,,,,,,,,,,,,,,,,,,,001,1491,2019_Oct_15_0946,stroop short,3.1.5,59.97148955320342,
VÀNG,BLUE,1,up,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00048600000445730984,None,400.19428440000047,401.47723710001446,down,0,1.3191279999737162,400.19428440000047,None,399.37768980002147,400.1777263999975,399.37768980002147,None,,,,,,,,,,,,,,,,,,,,,,,001,1491,2019_Oct_15_0946,stroop short,3.1.5,59.97148955320342,
XANH DƯƠNG,BLUE,1,down,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007188200019299984,None,403.19348549999995,404.47660330001963,down,1,0.9856182999792509,403.19348549999995,None,402.3800545000122,403.1779228000087,402.3800545000122,None,,,,,,,,,,,,,,,,,,,,,,,001,1491,2019_Oct_15_0946,stroop short,3.1.5,59.97148955320342,
XANH LÁ,GREEN,1,right,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008993499999633059,None,406.1928288000054,407.47609820001526,right,1,0.8874348999815993,406.1928288000054,None,405.38224240002455,406.17685610000626,405.38224240002455,None,,,,,,,,,,,,,,,,,,,,,,,001,1491,2019_Oct_15_0946,stroop short,3.1.5,59.97148955320342,
