title: 1488_001 , recorded: 14.10.19 14.54.22, timestamp started:2017-11-21T16:17:43.558438-08:00            , sampling:128, subject:, labels:COUNTER INTERPOLATED F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, , chan:40, samples:3667, units:emotiv
17,16,4137.56410236,4145.64102544,4169.61538448,4146.28205108,4141.53846133,4116.15384588,4137.69230749,4102.30769196,4117.82051255,4106.41025614,4142.82051262,4157.69230749,4117.94871767,4093.58974325,0,0
18,16,4134.99999973,4147.30769210,4189.74358961,4156.66666646,4140.38461518,4113.46153819,4141.02564082,4107.94871767,4122.94871767,4116.02564075,4157.69230749,4154.61538441,4127.82051255,4089.99999966,0,0
19,16,4139.99999980,4158.71794851,4258.71794872,4172.94871781,4140.25641005,4109.99999973,4136.79487159,4105.76923050,4126.02564075,4113.07692280,4170.64102551,4222.56410250,4141.28205108,4100.25640991,0,0
20,16,4129.10256383,4140.12820492,4166.92307672,4140.64102544,4132.43589716,4120.25640998,4140.89743569,4109.23076896,4130.25640998,4114.10256383,4170.89743576,4185.12820499,4141.15384595,4091.79487145,0,0
21,16,4132.17948691,4141.66666646,4211.28205122,4140.51282031,4128.58974332,4117.05128178,4135.51282031,4107.05128178,4131.53846126,4128.84615357,4176.92307679,4244.87179488,4161.53846133,4102.94871767,0,0
22,16,4128.84615357,4142.56410236,4245.12820513,4144.61538441,4133.07692280,4114.61538434,4130.38461511,4104.61538434,4129.74358947,4131.79487152,4184.10256397,4262.69230770,4170.25641012,4107.05128178,0,0
23,16,4127.17948691,4133.71794844,4232.56410250,4133.33333306,4135.38461518,4118.58974332,4130.12820485,4105.25640998,4132.30769203,4132.94871767,4187.82051269,4238.58974359,4171.15384602,4102.30769196,0,0
24,16,4146.92307672,4140.64102544,4293.07692315,4137.82051262,4133.20512793,4115.25640998,4128.84615357,4106.79487152,4140.76923056,4147.56410236,4198.84615371,4314.48717963,4195.25641012,4121.53846126,0,0
25,16,4141.28205108,4135.12820485,4221.41025634,4127.05128178,4133.07692280,4117.43589716,4135.12820485,4109.48717921,4143.46153826,4156.66666646,4209.61538455,4288.46153853,4205.51282045,4122.94871767,0,0
26,16,4141.79487159,4143.46153826,4277.30769238,4140.51282031,4130.25640998,4111.41025614,4130.38461511,4103.58974332,4138.20512800,4164.48717928,4216.02564096,4334.48717970,4223.20512814,4133.46153819,0,0
27,16,4143.58974339,4136.79487159,4311.28205142,4126.28205101,4119.23076896,4107.82051255,4127.94871767,4105.38461511,4140.38461518,4172.69230756,4214.99999993,4351.02564124,4224.87179481,4134.35897408,0,0
28,16,4139.61538441,4121.28205101,4270.00000007,4101.41025607,4120.89743562,4115.12820485,4133.20512793,4115.76923050,4146.15384595,4176.41025628,4218.07692301,4318.46153860,4214.74358968,4126.41025614,0,0
29,16,4154.87179467,4135.64102544,4331.53846168,4119.99999973,4130.51282024,4118.33333306,4134.10256383,4119.87179460,4148.20512800,4187.30769217,4233.46153840,4390.00000028,4235.12820513,4149.74358954,0,0
30,16,4152.56410236,4127.43589716,4257.05128206,4103.20512793,4123.84615357,4118.84615357,4139.48717928,4124.23076896,4153.33333313,4195.51282038,4239.48717949,4347.82051303,4244.23076923,4153.84615364,0,0
31,16,4150.76923056,4116.92307665,4262.30769231,4086.41025607,4118.58974332,4109.48717921,4138.58974339,4117.43589716,4154.99999980,4192.56410243,4235.89743590,4354.35897457,4248.46153847,4156.02564082,0,0
32,16,4152.30769210,4110.51282024,4273.97435905,4075.76923043,4122.05128178,4112.05128178,4142.43589723,4107.56410229,4153.20512800,4187.69230756,4228.97435891,4344.35897457,4240.51282052,4156.79487159,0,0
33,16,4150.51282031,4109.87179460,4230.51282045,4072.56410222,4120.38461511,4116.79487152,4148.20512800,4106.53846126,4157.43589723,4188.33333320,4216.79487173,4286.79487187,4230.12820506,4147.17948697,0,0
34,16,4157.17948697,4124.61538434,4287.94871802,4100.64102530,4119.74358947,4106.15384588,4140.51282031,4106.41025614,4158.07692287,4186.53846140,4208.97435891,4342.43589765,4237.43589744,4150.12820492,0,0
35,16,4143.71794851,4110.89743562,4180.25641012,4085.25640991,4126.79487152,4115.38461511,4146.02564082,4112.43589716,4157.94871774,4178.58974345,4198.71794858,4258.84615385,4217.82051275,4136.53846133,0,0
36,16,4145.25641005,4115.12820485,4155.89743569,4079.99999966,4131.15384588,4119.74358947,4150.38461518,4109.74358947,4154.74358954,4175.25641012,4182.82051269,4215.51282045,4205.51282045,4136.66666646,0,0
37,16,4147.56410236,4121.66666639,4182.05128192,4087.05128171,4128.33333306,4110.64102537,4143.46153826,4097.05128171,4138.33333313,4158.84615364,4164.48717928,4212.17948711,4190.64102551,4132.30769203,0,0
38,16,4137.43589723,4110.25640998,4116.92307665,4074.74358940,4125.89743562,4113.20512793,4144.10256390,4090.12820478,4131.28205101,4141.15384595,4149.61538441,4144.99999980,4169.61538448,4113.20512793,0,0
39,16,4152.69230749,4129.48717921,4166.15384595,4096.15384581,4127.05128178,4118.20512793,4148.07692287,4089.23076889,4141.41025621,4152.69230749,4152.94871774,4188.20512807,4185.25641012,4126.53846126,0,0
