word,color,congruent,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,intro_text.started,intro_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ready_text.started,ready_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,ISI.started,ISI.stopped,trial_text.started,trial_text.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixationtrial.started,fixationtrial.stopped,trial_display.started,trial_display.stopped,rest_text.started,rest_text.stopped,key_resp_8.keys,key_resp_8.started,key_resp_8.stopped,rest_beep_start.started,rest_beep_start.stopped,rest_beep_end.started,rest_beep_end.stopped,rest_display.started,rest_display.stopped,text_2.started,text_2.stopped,fixationmain.started,fixationmain.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,task_display.started,task_display.stopped,session,participant,date,expName,psychopyVersion,frameRate,
ĐỎ,YELLOW,0,left,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.17947699999786,147.46248059999925,145.36283790000016,146.16255299999466,left,1,0.5033620000031078,146.17947699999786,None,145.36283790000016,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,RED,0,up,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.1795373999994,150.46272319999844,148.36277500000142,149.1630065999998,left,0,1.36430190000101,149.1795373999994,None,148.36277500000142,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.18015549999836,153.4626894999965,151.36278099999618,152.16278610000154,left,1,0.6069190000052913,152.18015549999836,None,151.36278099999618,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,BLUE,1,right,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.17934049999894,156.4629405999949,154.36286660000042,155.1626569,down,0,0.9619967999969958,155.17934049999894,None,154.36286660000042,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,YELLOW,0,left,,,,,1,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.1792940000014,159.4626993999991,157.3627725999977,158.16271589999815,up,0,0.8796451999951387,158.1792940000014,None,157.3627725999977,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,1,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.17935690000013,162.46260349999648,160.36274879999837,161.16287219999504,left,1,0.6017808999968111,161.17935690000013,None,160.36274879999837,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,BLUE,1,right,,,,,1,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.1799658999953,165.46281309999904,163.36290839999856,164.16282900000078,down,0,1.3436432000016794,164.1799658999953,None,163.36290839999856,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,RED,0,up,,,,,1,3,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.17935040000157,168.46273389999988,166.36280439999973,167.1630640000003,up,1,0.9970383000036236,167.17935040000157,None,166.36280439999973,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH DƯƠNG,GREEN,1,down,,,,,1,4,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1794297000015,171.4626602999997,169.3627647999965,170.16277640000044,right,0,0.565049300006649,170.1794297000015,None,169.3627647999965,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,BLUE,1,right,,,,,2,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.17915340000036,174.46250119999604,172.3629215999972,173.16351179999765,down,0,0.36115630000131205,173.17915340000036,None,172.3629215999972,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,RED,0,up,,,,,2,1,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.17917769999622,177.46262519999436,175.3627178999959,176.16267449999577,up,1,0.9378212000010535,176.17917769999622,None,175.3627178999959,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,,,,,2,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.17917730000045,180.46238349999476,178.36261379999632,179.16271920000145,left,1,0.6230740000028163,179.17917730000045,None,178.36261379999632,None,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
